Dose Level,Method,Iteration,Objective,RelativeChange,RelativeError,StepSize
10%,TV-GD,17,422.4153041958154,0.05704511529191475,,
10%,TV-GD,18,421.57454637311287,0.05816872731975939,,
10%,TV-GD,19,424.8013574066857,0.05940152636488468,,
10%,TV-GD,20,424.5700250806218,0.06056868334486157,,
10%,TV-GD,21,427.97485101378646,0.06123727940133479,,
10%,TV-GD,22,427.11647921492636,0.06213578214236674,,
10%,TV-GD,23,430.5234953970033,0.06297563225679371,,
10%,TV-GD,24,430.04084501369056,0.06401010568892775,,
10%,TV-GD,25,433.55184083710253,0.06463482315512774,,
10%,TV-GD,26,432.9364421250877,0.06531185462586032,,
10%,TV-GD,27,436.1371085786144,0.06595526776177138,,
10%,TV-GD,28,435.41280850619694,0.06690917108671476,,
10%,TV-GD,29,439.20000978667827,0.06738981808100115,,
10%,TV-GD,30,438.38850770212866,0.0680522260401661,,
10%,TV-GD,31,441.73520456579246,0.06885857545925475,,
10%,TV-GD,32,441.2922041830891,0.06968209686323347,,
10%,TV-GD,33,444.90981924651203,0.06999594102039795,,
10%,TV-GD,34,443.84710005974466,0.07067519871116944,,
10%,TV-GD,35,447.2968263662298,0.071343239454275,,
10%,TV-GD,36,446.9708140316703,0.07211516595493189,,
10%,TV-GD,37,450.35910695418454,0.07247093699645188,,
10%,TV-GD,38,449.57376410679404,0.07315382029520147,,
10%,TV-GD,39,453.0503882538277,0.0737550713490716,,
10%,TV-GD,40,452.2766043340666,0.07448666504648693,,
10%,TV-GD,41,455.921731903642,0.07482728777880764,,
10%,TV-GD,42,455.0866517480746,0.07543666434162714,,
10%,TV-GD,43,458.28241308228314,0.07595905967889399,,
10%,TV-GD,44,457.60322914630024,0.0765791876915251,,
10%,TV-GD,45,460.9087651333574,0.07682054269180402,,
10%,TV-GD,46,459.70835640517976,0.07737939205776673,,
10%,TV-GD,47,463.0945969916806,0.0777807280082591,,
10%,TV-GD,48,462.01716179892577,0.07837780723949059,,
10%,TV-GD,49,465.43307638403826,0.07864657838941408,,
10%,TV-GD,50,464.18568986738865,0.0790909520730191,,
10%,TV-GD,51,467.3086491179614,0.07943042784210791,,
10%,TV-GD,52,466.18850194084126,0.07996432459236431,,
10%,TV-GD,53,469.3788808957602,0.08018602272623823,,
10%,TV-GD,54,468.1581193638707,0.08061902545515634,,
10%,TV-GD,55,471.2605832894035,0.08096136930325244,,
10%,TV-GD,56,470.021577545973,0.08139254577442366,,
10%,TV-GD,57,473.0986187121447,0.08153416137119301,,
10%,TV-GD,58,471.7487111983961,0.0819557428953356,,
10%,TV-GD,59,474.6321562127093,0.08229829227973572,,
10%,TV-GD,60,473.5449221435558,0.08278034187446737,,
10%,TV-GD,61,476.59699404669277,0.08279820777567423,,
10%,TV-GD,62,475.0662873474868,0.08306716421246538,,
10%,TV-GD,63,477.724863553579,0.08342172280646307,,
10%,TV-GD,64,476.6242890328673,0.08388871998755393,,
10%,TV-GD,65,479.5269553049671,0.08397419800109458,,
10%,TV-GD,66,478.148788977584,0.08425417286600335,,
10%,TV-GD,67,480.836165229392,0.0844830903988187,,
10%,TV-GD,68,479.4468339826451,0.08486721699202111,,
10%,TV-GD,69,482.22290552452824,0.08493804096124075,,
10%,TV-GD,70,480.737089748539,0.08519125205991261,,
10%,TV-GD,71,483.25127692443925,0.08540664003906233,,
10%,TV-GD,72,481.99929113408757,0.08578047973982492,,
10%,TV-GD,73,484.7326356959516,0.08578793898084258,,
10%,TV-GD,74,483.0495236652408,0.08601969743877029,,
10%,TV-GD,75,485.5821856170443,0.08625984684205061,,
10%,TV-GD,76,484.20839264162197,0.08658360118592948,,
10%,TV-GD,77,486.8273683031657,0.08650579813055148,,
10%,TV-GD,78,484.9339819857705,0.08672444649309569,,
10%,TV-GD,79,487.58179404477596,0.08685570283822394,,
10%,TV-GD,80,485.83930638969497,0.08710451967019307,,
10%,TV-GD,81,488.4512857914194,0.08714811825223295,,
10%,TV-GD,82,486.7148419908577,0.08731731855788195,,
10%,TV-GD,83,489.07499864897915,0.08741981444241025,,
10%,TV-GD,84,487.42346159773103,0.08771131214648964,,
10%,TV-GD,85,490.02653162979874,0.08760420588271618,,
10%,TV-GD,86,488.0503645444266,0.08779016023095865,,
10%,TV-GD,87,490.464545987164,0.08796780290929172,,
10%,TV-GD,88,488.79112771953527,0.08816933296074642,,
10%,TV-GD,89,491.1117497761326,0.08809759469208266,,
10%,TV-GD,90,489.4442510114303,0.08816788498330162,,
10%,TV-GD,91,491.4848076441627,0.08828335964106955,,
10%,TV-GD,92,489.8228340654991,0.08855543464489078,,
10%,TV-GD,93,492.22591207954724,0.08847243584069511,,
